Ticker,Year,Year_Int,COD_Year,Years_Since_COD,Pre_Post_COD,Revenue,EBIT,PAT,CapEx,Change_in_WC,Depreciation_Expense,Interest_Expense,Tax_Rate,Working_Capital,FCF,EBIT_Margin,Net_Profit_Margin,Debt_Ratio,Current_Ratio,ROA,ROE,Asset_Turnover,Interest_Burden,Revenue_Growth,EBIT_Growth,Revenue_Lag1,FCF_Lag1,Revenue_Growth_Lag1,Rolling3_Avg_Rev_Growth,Rolling3_Avg_Ebit_Margin,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF,GDP_Growth,Inflation,Interest_Rate,Total_IPP_Generation_GWh,Power_Import_From_India_GWh,National_Peak_Demand_MW,OperatingCashFlow_Proxy,Market_Cap,Total_Debt
HDHPC,2020/21,2020,2018.0,2.0,1,148122.4931,63337.9098,-116772.1915,0.0,-99384.19618,69634.505,110475.5963,0.0,144222.88700000002,232356.61098,0.4276049401709672,-0.7883488122304634,0.4982922345048697,2.105148006865276,-0.0488270825872592,-0.0973217597207209,0.0619358865387435,1.744225482792929,-0.329488997494603,-0.6574744952887099,220909.8621,80124.68630999999,0.2529362822000898,,0.6376224174361691,4.5,2064.0,35.0,4.8,8.4,0.6262577925756807,-2.3696213419770182,6.15,10.109165203675886,2836.0,1729.0,1408.0,-47137.6865,4672000.0,1191688.5701000001
HDHPC,2021/22,2021,2018.0,3.0,1,131548.6409,93951.58268,-122159.4577,0.0,-38885.64090000003,118497.7104,97613.32999,0.0,105337.2461,251334.93398000003,0.71419652865452,-0.9286257681131238,0.5081722618485899,1.6127043588158094,-0.0541642924114123,-0.1101285840749749,0.0583273631545556,1.0389748336914335,-0.1118928790160904,0.4833388562500369,148122.4931,232356.61098,-0.329488997494603,-0.0628151981035345,0.6596199233603098,4.5,2064.0,35.0,4.8,8.4,0.5561840051581262,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,-3661.747300000002,3264000.0,1146106.506
HDHPC,2022/23,2022,2018.0,4.0,1,38035.50722,25610.07016,-74293.07257,0.0,-283504.90834,18636.03503,81267.1077,0.0,-178167.66224,327751.01353,0.6733200641145545,-1.95325573391946,0.438006007122298,0.1952226997655203,-0.0328919883003849,-0.0585272951416429,0.0168395708402109,3.1732481477903143,-0.7108635485720172,-0.7274120410804771,131548.6409,251334.93398000003,-0.1118928790160904,-0.3840818083609035,0.6050405109800139,4.5,2064.0,35.0,4.8,8.4,0.1608130695924234,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,-55657.037540000005,2887202.1520000002,989323.3506
HDHPC,2023/24,2023,2018.0,5.0,1,111656.7387,77121.46015,-22919.33325,0.0,202876.6258,78357.26663,21683.52677,0.0,24708.96356,-47397.89902000001,0.6907013499401089,-0.2052660100666185,0.0752014164122011,2.42234534156726,-0.0097561310559027,-0.0105494658303541,0.0475292088190171,0.2811607395376836,1.9355922100412573,2.011372466696905,38035.50722,327751.01353,-0.7108635485720172,0.3709452608177166,0.6927393142363943,4.5,2064.0,35.0,4.8,8.4,0.4720815943683409,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,55437.93338,4172000.0,176664.94164
HDHPC,2024/25,2024,2018.0,6.0,1,117697.563,63582.926,-40356.302,0.0,5184.958440000006,87929.282,16009.945,0.0,29893.922,146327.24956,0.5402229611160259,-0.3428813729983517,0.0972414931496745,1.9506368128912968,-0.0171372650293908,-0.0189832218686942,0.0499801575090905,0.2517962919793908,0.0541017440624924,-0.1755482082894666,111656.7387,-47397.89902000001,1.9355922100412573,0.4262768018439109,0.6347481250568964,4.5,2064.0,35.0,4.8,8.4,0.4976220319634703,3.7,5.44,9.934009948215072,6564.0,1895.0,2212.0,47572.98,5537280.0,228992.611
HHL,2021/22,2021,2020.0,1.0,1,94960.049,145561.296,-120868.889,0.0,164433.41099999996,97231.379,169198.806,0.0,-172104.735,78359.26400000002,1.5328687962239784,-1.2728393705862555,0.7102679809484495,0.5284055291996028,-0.0459111406883828,-0.1584607071682471,0.0360698621910451,1.1623887025573063,-0.8083503567278966,1.15068702653928,495487.742,,,,,12.0,2069.0,35.0,4.8,8.4,0.1505581700279046,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,-23637.509999999995,0.0,1869901.302
HHL,2022/23,2022,2020.0,2.0,1,292923.684,280578.241,25818.145,0.0,143280.52099999998,80587.245,173393.143,0.0198000567357102,-28824.214000000007,212329.49990939425,0.9578544048353562,0.0881394930155255,0.6807890428646987,0.7940974615257133,0.0104508887236611,0.0327397556069211,0.118572144745832,0.6179849954936456,2.0847044318606027,0.9275607507644064,94960.049,78359.26400000002,-0.8083503567278966,,0.8757728365356156,12.0,2069.0,35.0,4.8,8.4,0.4644274543378995,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,106405.39,2726550.0,1681838.807
HHL,2023/24,2023,2020.0,3.0,1,311869.031,264440.359,1760.619,0.0,36862.32500000001,96608.081,166071.659,0.0,8038.111000000004,324186.115,0.847921187147306,0.0056453793900427,0.6678842774252852,1.076146253618638,0.0007398267540257,0.0022276173747219,0.131049961908788,0.6280117741029084,0.0646767333432827,-0.0575165128360755,292923.684,212329.49990939425,2.0847044318606027,0.4470102694919962,1.1128814627355468,12.0,2069.0,35.0,4.8,8.4,0.4944651049594115,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,98368.7,4125960.0,1589412.308
HHL,2024/25,2024,2020.0,4.0,1,334497.406,282185.447,69678.654,0.0,77123.829,97201.608,115305.185,0.0,85161.94,302263.226,0.8436102700300162,0.2083085032952392,0.6241317129648434,3.608256087915706,0.0304806534509921,0.0810939749437843,0.1463245761398006,0.408614924071545,0.0725573005034924,0.0671043106547892,311869.031,324186.115,0.0646767333432827,0.7406461552357926,0.8831286206708929,12.0,2069.0,35.0,4.8,8.4,0.5303421581684424,3.7,5.44,9.934009948215072,6564.0,1895.0,2212.0,166880.262,4023906.0,1426762.643
HPPL,2016/17,2016,2022.0,-6.0,0,0.0,0.0,0.0,481084.8440999999,100881.90252999996,0.0,0.0,0.0,470334.70899,-581966.7466299998,,,0.4539015728006434,24.728708020261003,0.0,0.0,0.0,,,,0.0,,,,,27.0,2068.0,35.0,4.8,8.4,0.0,0.43311371777683,9.92,8.86,1012.0,1778.0,1385.0,0.0,0.0,708435.59061
